prc_id,company,attack_date,org_type,cik,method
7286,J.M. Smucker Company,2014-02-27,MED,91419,exact
7287,"ProAssurance Mid-Continent Underwriters, Inc.",2014-02-27,MED,1127703,manual
7302,"Alaska Communications Systems Holdings, Inc.",2014-02-24,MED,1089511,exact
7303,"Assisted Living Concepts, LLC",2014-02-21,MED,929994,exact
7313,Sabre Corporation,2017-05-04,BSO,1597033,exact
7327,Rite Aid,2017-05-17,BSR,84129,exact
7342,Virgin America,2017-07-26,BSO,1614436,exact
7376,Performant Financial Corporation,2017-08-14,BSF,1550695,exact
7388,Bed Bath & Beyond,2017-06-19,BSO,886158,exact
7396,Aflac,2017-03-16,BSF,4977,exact
7419,CoreLogic/Credco,2017-08-29,BSF,36047,manual
7422,Equifax Corporation,2017-09-07,BSF,33185,exact
7477,Abbott Nutrition,2017-02-23,MED,1800,manual
7481,Sonic Drive-In,2017-09-26,BSO,868611,manual
7482,Whole Foods,2017-09-29,BSR,865436,manual
7485,MongoDB,2017-09-05,BSO,1441816,exact
7518,Briggs & Stratton Corporation,2017-09-29,MED,14195,exact
7539,Hyatt Hotels,2017-11-16,BSO,1468174,exact
7540,T-Mobile,2017-10-12,BSO,1283699,manual
7542,Rite Aid,2017-05-19,BSR,84129,exact
7555,ABM Industries,2017-11-14,BSO,771497,exact
7564,Kimberly-Clark,2017-11-02,BSO,55785,exact
7665,Nevro,2018-02-07,MED,1444380,exact
7686,The Coca-Cola Company,2018-01-22,BSR,21344,exact
7694,"Pentair Aquatic Eco Systems, Inc.",2018-01-26,BSO,77360,manual
7710,"Southern National Bancorp of Virginia, Inc. d/b/a/ Sonabank",2018-02-26,BSF,1325670,manual
7720,Marriott International Inc.,2018-02-16,BSR,1048286,exact
7731,OneMain Financial,2018-02-09,BSF,1584207,manual
7747,Goldman Sachs & Co. LLC,2018-02-12,BSF,886982,manual
7751,Intuit Inc.,2018-02-09,BSF,896878,exact
7798,Under Armour,2018-03-30,BSR,1336917,exact
7801,"Delta Air Lines, Inc.",2018-04-06,BSR,27904,exact
7802,Sears,2018-04-06,BSR,1310067,exact
7804,Best Buy,2018-04-06,BSR,764478,exact
7815,"SunTrust Banks, Inc.",2018-04-20,BSF,750556,exact
7838,"Inogen, Inc.",2018-04-17,MED,1294133,exact
7866,"W. W. Grainger, Inc.",2018-04-20,BSO,277135,manual
7923,Aflac,2018-05-29,MED,4977,exact
7937,"HealthEquity, Inc.",2018-06-12,MED,1428336,exact
7946,"InfuSystem, Inc.",2018-06-22,MED,1337013,exact
8033,Metropolitan Life Insurance Company,2017-07-19,MED,937834,exact
8107,"Guardant Health, Inc.",2018-09-14,MED,1576280,exact
8116,"Facebook, Inc.",2018-09-28,BSO,1326801,exact
8120,Cigna,2018-10-10,MED,701221,exact
8160,Marriott International ,2018-11-30,BSR,1048286,exact
8176,"HealthEquity, Inc.",2018-11-17,MED,1428336,exact
